"","g1","g2"
"153","ENSG00000162458.12","ENSG00000233954.6"
"154","ENSG00000233954.6","ENSG00000065526.10"
"155","ENSG00000065526.10","ENSG00000116809.11"
"156","ENSG00000116809.11","ENSG00000183888.4"
"157","ENSG00000183888.4","ENSG00000173641.17"
"158","ENSG00000186510.11","ENSG00000184908.17"
"159","ENSG00000184908.17","ENSG00000185519.8"
"160","ENSG00000185519.8","ENSG00000142627.12"
"161","ENSG00000142627.12","ENSG00000142632.16"
"162","ENSG00000142632.16","ENSG00000132881.11"
"163","ENSG00000132881.11","ENSG00000037637.10"
"164","ENSG00000055070.16","ENSG00000187144.11"
"165","ENSG00000157191.19","ENSG00000268991.2"
"166","ENSG00000268991.2","ENSG00000219481.10"
"167","ENSG00000219481.10","ENSG00000237847.2"
"168","ENSG00000237847.2","ENSG00000279132.2"
"169","ENSG00000279132.2","ENSG00000058453.16"
"170","ENSG00000058453.16","ENSG00000117122.13"
"171","ENSG00000117122.13","ENSG00000159363.17"
"172","ENSG00000159363.17","ENSG00000117118.9"
"173","ENSG00000117118.9","ENSG00000117115.12"
"174","ENSG00000117115.12","ENSG00000142623.9"
"175","ENSG00000142623.9","ENSG00000142619.4"
"176","ENSG00000142619.4","ENSG00000159339.13"
"177","ENSG00000159339.13","ENSG00000276747.1"
"178","ENSG00000276747.1","ENSG00000179051.13"
"179","ENSG00000179051.13","ENSG00000074964.16"
"180","ENSG00000179023.8","ENSG00000009709.11"
"181","ENSG00000179002.5","ENSG00000159423.16"
"182","ENSG00000159423.16","ENSG00000169991.10"
"183","ENSG00000127481.14","ENSG00000127463.13"
"184","ENSG00000053372.4","ENSG00000162482.4"
"185","ENSG00000162482.4","ENSG00000053371.12"
"186","ENSG00000040487.12","ENSG00000077549.17"
"187","ENSG00000077549.17","ENSG00000173436.13"
"188","ENSG00000173436.13","ENSG00000158747.13"
"189","ENSG00000158747.13","ENSG00000158748.3"
"190","ENSG00000158748.3","ENSG00000162542.13"
"191","ENSG00000162542.13","ENSG00000178828.6"
"192","ENSG00000178828.6","ENSG00000169914.5"
"193","ENSG00000169914.5","ENSG00000188784.4"
"194","ENSG00000188784.4","ENSG00000188257.10"
"195","ENSG00000188257.10","ENSG00000127472.10"
"196","ENSG00000127472.10","ENSG00000117215.14"
"197","ENSG00000117215.14","ENSG00000158786.4"
"198","ENSG00000158786.4","ENSG00000187980.6"
"199","ENSG00000162543.5","ENSG00000158816.15"
"200","ENSG00000158816.15","ENSG00000162545.5"
"201","ENSG00000162545.5","ENSG00000090432.6"
"202","ENSG00000090432.6","ENSG00000183114.7"
"203","ENSG00000183114.7","ENSG00000158825.5"
"204","ENSG00000158825.5","ENSG00000158828.7"
"205","ENSG00000158828.7","ENSG00000244038.9"
"206","ENSG00000244038.9","ENSG00000117245.12"
"207","ENSG00000117245.12","ENSG00000189410.11"
"208","ENSG00000189410.11","ENSG00000127483.17"
"209","ENSG00000075151.20","ENSG00000117298.14"
"210","ENSG00000117298.14","ENSG00000142794.18"
"211","ENSG00000142794.18","ENSG00000162551.13"
"212","ENSG00000162551.13","ENSG00000076864.19"
"213","ENSG00000076864.19","ENSG00000090686.15"
"214","ENSG00000090686.15","ENSG00000187942.11"
"215","ENSG00000187942.11","ENSG00000142798.17"
"216","ENSG00000142798.17","ENSG00000219073.7"
"217","ENSG00000219073.7","ENSG00000142789.19"
"218","ENSG00000142789.19","ENSG00000070831.15"
"219","ENSG00000070831.15","ENSG00000162552.14"
"220","ENSG00000184677.16","ENSG00000070886.11"
"221","ENSG00000070886.11","ENSG00000173372.16"
"222","ENSG00000173369.15","ENSG00000133216.16"
"223","ENSG00000215906.8","ENSG00000227868.5"
"224","ENSG00000004487.15","ENSG00000169641.13"
"225","ENSG00000169641.13","ENSG00000179546.4"
"226","ENSG00000179546.4","ENSG00000125944.18"
"227","ENSG00000125944.18","ENSG00000125945.14"
"228","ENSG00000125945.14","ENSG00000204219.9"
"229","ENSG00000204219.9","ENSG00000088280.18"
"230","ENSG00000088280.18","ENSG00000007968.6"
"231","ENSG00000007968.6","ENSG00000117318.8"
"232","ENSG00000117318.8","ENSG00000197880.8"
"233","ENSG00000197880.8","ENSG00000142676.12"
"234","ENSG00000142676.12","ENSG00000011007.12"
"235","ENSG00000011007.12","ENSG00000057757.9"
"236","ENSG00000057757.9","ENSG00000011009.10"
"237","ENSG00000117308.14","ENSG00000117305.14"
"238","ENSG00000117305.14","ENSG00000179163.11"
"239","ENSG00000179163.11","ENSG00000188822.7"
"240","ENSG00000188822.7","ENSG00000189266.11"
"241","ENSG00000189266.11","ENSG00000188529.14"
"242","ENSG00000188529.14","ENSG00000142661.18"
"243","ENSG00000142661.18","ENSG00000142677.3"
"244","ENSG00000142677.3","ENSG00000185436.11"
"245","ENSG00000185436.11","ENSG00000158055.15"
"246","ENSG00000158055.15","ENSG00000001460.17"
"247","ENSG00000001461.16","ENSG00000117602.11"
"248","ENSG00000117602.11","ENSG00000184454.6"
"249","ENSG00000184454.6","ENSG00000133226.16"
"250","ENSG00000133226.16","ENSG00000169504.14"
"251","ENSG00000117614.9","ENSG00000117616.17"
"252","ENSG00000117616.17","ENSG00000187010.19"
"253","ENSG00000187010.19","ENSG00000183726.10"
"254","ENSG00000183726.10","ENSG00000188672.17"
"255","ENSG00000204178.9","ENSG00000157978.11"
"256","ENSG00000157978.11","ENSG00000117643.14"
"257","ENSG00000117643.14","ENSG00000162430.16"
"258","ENSG00000162430.16","ENSG00000117640.17"
"259","ENSG00000117640.17","ENSG00000127423.10"
"260","ENSG00000127423.10","ENSG00000182749.5"
"261","ENSG00000182749.5","ENSG00000117632.22"
"262","ENSG00000117632.22","ENSG00000158006.13"
"263","ENSG00000158006.13","ENSG00000158008.9"
"264","ENSG00000158008.9","ENSG00000158014.14"
"265","ENSG00000158014.14","ENSG00000158022.6"
"266","ENSG00000158022.6","ENSG00000175087.9"
"267","ENSG00000175087.9","ENSG00000197245.5"
"268","ENSG00000142675.17","ENSG00000188782.8"
"269","ENSG00000188782.8","ENSG00000130695.14"
"270","ENSG00000130695.14","ENSG00000142669.14"
"271","ENSG00000142669.14","ENSG00000158062.20"
"272","ENSG00000169442.8","ENSG00000176092.14"
"273","ENSG00000176092.14","ENSG00000176083.17"
"274","ENSG00000176083.17","ENSG00000131914.10"
"275","ENSG00000131914.10","ENSG00000117682.16"
"276","ENSG00000117682.16","ENSG00000198830.10"
"277","ENSG00000198830.10","ENSG00000117676.13"
"278","ENSG00000117676.13","ENSG00000117713.18"
"279","ENSG00000117713.18","ENSG00000060642.10"
"280","ENSG00000060642.10","ENSG00000204160.11"
"281","ENSG00000204160.11","ENSG00000175793.11"
"282","ENSG00000175793.11","ENSG00000142751.14"
"283","ENSG00000142751.14","ENSG00000198746.12"
"284","ENSG00000090273.13","ENSG00000131910.4"
"285","ENSG00000131910.4","ENSG00000175707.8"
"286","ENSG00000175707.8","ENSG00000253368.3"
"287","ENSG00000253368.3","ENSG00000158246.7"
"288","ENSG00000158246.7","ENSG00000090020.10"
"289","ENSG00000090020.10","ENSG00000142784.15"
"290","ENSG00000142784.15","ENSG00000186501.14"
"291","ENSG00000186501.14","ENSG00000142765.17"
"292","ENSG00000142765.17","ENSG00000142733.14"
"293","ENSG00000181773.6","ENSG00000158195.10"
"294","ENSG00000158195.10","ENSG00000126705.13"
"295","ENSG00000126705.13","ENSG00000000938.12"
"296","ENSG00000000938.12","ENSG00000126709.14"
"297","ENSG00000126709.14","ENSG00000009780.15"
"298","ENSG00000009780.15","ENSG00000117758.13"
"299","ENSG00000117758.13","ENSG00000117751.17"
"300","ENSG00000117751.17","ENSG00000130775.15"
"301","ENSG00000130775.15","ENSG00000117748.9"
"302","ENSG00000117748.9","ENSG00000130768.14"
"303","ENSG00000130768.14","ENSG00000158156.7"
"304","ENSG00000158156.7","ENSG00000158161.15"
"305","ENSG00000158161.15","ENSG00000169403.11"
"306","ENSG00000169403.11","ENSG00000126698.10"
"307","ENSG00000130770.17","ENSG00000130766.4"
"308","ENSG00000130766.4","ENSG00000130772.13"
"309","ENSG00000130772.13","ENSG00000204138.12"
"310","ENSG00000204138.12","ENSG00000180198.15"
"311","ENSG00000180198.15","ENSG00000180098.9"
"312","ENSG00000180098.9","ENSG00000120656.11"
"313","ENSG00000120656.11","ENSG00000188060.7"
"314","ENSG00000188060.7","ENSG00000162419.12"
"315","ENSG00000162419.12","ENSG00000198492.15"
"316","ENSG00000198492.15","ENSG00000116329.10"
"317","ENSG00000116329.10","ENSG00000159023.19"
"318","ENSG00000253304.1","ENSG00000116350.16"
"319","ENSG00000116350.16","ENSG00000116353.15"
"320","ENSG00000162510.5","ENSG00000162511.7"
"321","ENSG00000162511.7","ENSG00000162512.15"
"322","ENSG00000162512.15","ENSG00000134644.15"
"323","ENSG00000134644.15","ENSG00000084628.9"
"324","ENSG00000084628.9","ENSG00000060688.12"
"325","ENSG00000121766.15","ENSG00000121769.7"
"326","ENSG00000121769.7","ENSG00000168528.11"
"327","ENSG00000168528.11","ENSG00000142910.15"
"328","ENSG00000142910.15","ENSG00000121764.11"
"329","ENSG00000121764.11","ENSG00000162517.12"
"330","ENSG00000162517.12","ENSG00000084636.17"
"331","ENSG00000084636.17","ENSG00000121753.12"
"332","ENSG00000121753.12","ENSG00000134668.12"
"333","ENSG00000134668.12","ENSG00000184007.18"
"334","ENSG00000184007.18","ENSG00000121774.17"
"335","ENSG00000121774.17","ENSG00000121775.17"
"336","ENSG00000121775.17","ENSG00000025800.13"
"337","ENSG00000025800.13","ENSG00000084652.15"
"338","ENSG00000084652.15","ENSG00000160050.14"
"339","ENSG00000222046.2","ENSG00000160055.19"
"340","ENSG00000084623.11","ENSG00000183615.5"
"341","ENSG00000182866.16","ENSG00000116478.11"
"342","ENSG00000116478.11","ENSG00000175130.6"
"343","ENSG00000175130.6","ENSG00000162526.6"
"344","ENSG00000162526.6","ENSG00000225828.1"
"345","ENSG00000225828.1","ENSG00000160058.18"
"346","ENSG00000160058.18","ENSG00000273274.1"
"347","ENSG00000273274.1","ENSG00000160062.14"
"348","ENSG00000160062.14","ENSG00000176261.15"
"349","ENSG00000162521.18","ENSG00000162520.14"
"350","ENSG00000162520.14","ENSG00000162522.10"
"351","ENSG00000162522.10","ENSG00000134684.10"
"352","ENSG00000116497.17","ENSG00000160097.16"
"353","ENSG00000160097.16","ENSG00000121905.9"
"354","ENSG00000121905.9","ENSG00000121900.18"
"355","ENSG00000121900.18","ENSG00000116514.16"
"356","ENSG00000116514.16","ENSG00000004455.16"
"357","ENSG00000142920.16","ENSG00000116525.13"
"358","ENSG00000116525.13","ENSG00000160094.14"
"359","ENSG00000160094.14","ENSG00000184389.9"
"360","ENSG00000184389.9","ENSG00000134686.18"
"361","ENSG00000134686.18","ENSG00000121903.14"
"362","ENSG00000163866.8","ENSG00000189280.3"
"363","ENSG00000189433.5","ENSG00000188910.7"
"364","ENSG00000188910.7","ENSG00000187513.8"
"365","ENSG00000187513.8","ENSG00000116544.11"
"366","ENSG00000116544.11","ENSG00000243749.1"
"367","ENSG00000243749.1","ENSG00000163867.16"
"368","ENSG00000163867.16","ENSG00000197056.9"
"369","ENSG00000197056.9","ENSG00000116560.10"
"370","ENSG00000116560.10","ENSG00000146463.11"
"371","ENSG00000020129.15","ENSG00000116819.6"
"372","ENSG00000116819.6","ENSG00000126067.11"
"373","ENSG00000126067.11","ENSG00000142686.7"
"374","ENSG00000142686.7","ENSG00000092853.13"
"375","ENSG00000092853.13","ENSG00000134698.10"
"376","ENSG00000134698.10","ENSG00000092847.11"
"377","ENSG00000092847.11","ENSG00000126070.19"
"378","ENSG00000126070.19","ENSG00000092850.11"
"379","ENSG00000116863.10","ENSG00000171812.12"
"380","ENSG00000171812.12","ENSG00000054116.11"
"381","ENSG00000116871.15","ENSG00000054118.13"
"382","ENSG00000054118.13","ENSG00000214193.10"
"383","ENSG00000214193.10","ENSG00000142694.6"
"384","ENSG00000142694.6","ENSG00000196182.10"
"385","ENSG00000196182.10","ENSG00000181817.5"
"386","ENSG00000181817.5","ENSG00000116885.18"
"387","ENSG00000116885.18","ENSG00000116898.11"
"388","ENSG00000116898.11","ENSG00000119535.17"
"389","ENSG00000163874.10","ENSG00000163875.15"
"390","ENSG00000163875.15","ENSG00000163877.10"
"391","ENSG00000163879.10","ENSG00000134697.12"
"392","ENSG00000134697.12","ENSG00000169218.13"
"393","ENSG00000169218.13","ENSG00000116922.14"
"394","ENSG00000134690.10","ENSG00000183317.16"
"395","ENSG00000183317.16","ENSG00000185090.14"
"396","ENSG00000185090.14","ENSG00000196449.3"
"397","ENSG00000197982.13","ENSG00000188786.9"
"398","ENSG00000188786.9","ENSG00000204084.12"
"399","ENSG00000204084.12","ENSG00000183431.11"
"400","ENSG00000183431.11","ENSG00000183386.9"
"401","ENSG00000183520.11","ENSG00000185668.7"
"402","ENSG00000116954.7","ENSG00000214114.8"
"403","ENSG00000131233.9","ENSG00000158315.10"
"404","ENSG00000158315.10","ENSG00000174574.15"
"405","ENSG00000174574.15","ENSG00000168653.10"
"406","ENSG00000168653.10","ENSG00000127603.23"
"407","ENSG00000183682.7","ENSG00000090621.13"
"408","ENSG00000090621.13","ENSG00000163909.7"
"409","ENSG00000163909.7","ENSG00000116981.3"
"410","ENSG00000116981.3","ENSG00000116983.12"
"411","ENSG00000084072.16","ENSG00000116985.11"
"412","ENSG00000116985.11","ENSG00000198754.5"
"413","ENSG00000198754.5","ENSG00000043514.15"
"414","ENSG00000043514.15","ENSG00000116990.10"
"415","ENSG00000116990.10","ENSG00000168389.17"
"416","ENSG00000168389.17","ENSG00000131236.16"
"417","ENSG00000131236.16","ENSG00000131238.16"
"418","ENSG00000131238.16","ENSG00000117000.8"
"419","ENSG00000117000.8","ENSG00000188800.5"
"420","ENSG00000188800.5","ENSG00000084073.8"
"421","ENSG00000084073.8","ENSG00000049089.13"
"422","ENSG00000049089.13","ENSG00000084070.11"
"423","ENSG00000084070.11","ENSG00000187801.14"
"424","ENSG00000187801.14","ENSG00000187815.9"
"425","ENSG00000187815.9","ENSG00000164002.11"
"426","ENSG00000164002.11","ENSG00000117010.15"
"427","ENSG00000117010.15","ENSG00000117016.9"
"428","ENSG00000117016.9","ENSG00000066136.20"
"429","ENSG00000066136.20","ENSG00000117013.14"
"430","ENSG00000117013.14","ENSG00000179862.6"
"431","ENSG00000179862.6","ENSG00000171793.13"
"432","ENSG00000171793.13","ENSG00000171790.15"
"433","ENSG00000010803.16","ENSG00000204060.6"
"434","ENSG00000204060.6","ENSG00000127129.9"
"435","ENSG00000127124.14","ENSG00000044012.3"
"436","ENSG00000044012.3","ENSG00000197273.3"
"437","ENSG00000197273.3","ENSG00000198815.8"
"438","ENSG00000198815.8","ENSG00000177181.14"
"439","ENSG00000177181.14","ENSG00000066185.12"
"440","ENSG00000186409.14","ENSG00000171960.10"
"441","ENSG00000171960.10","ENSG00000065978.18"
"442","ENSG00000065978.18","ENSG00000164007.10"
"443","ENSG00000164007.10","ENSG00000117385.15"
"444","ENSG00000164008.14","ENSG00000274386.5"
"445","ENSG00000274386.5","ENSG00000177868.11"
"446","ENSG00000164010.13","ENSG00000164011.17"
"447","ENSG00000164011.17","ENSG00000117394.20"
"448","ENSG00000117394.20","ENSG00000186973.10"
"449","ENSG00000186973.10","ENSG00000117395.12"
"450","ENSG00000117395.12","ENSG00000243710.7"
"451","ENSG00000243710.7","ENSG00000179178.10"
"452","ENSG00000179178.10","ENSG00000253313.5"
"453","ENSG00000253313.5","ENSG00000066056.13"
"454","ENSG00000066056.13","ENSG00000117400.16"
"455","ENSG00000117400.16","ENSG00000117399.13"
"456","ENSG00000066322.14","ENSG00000159479.16"
"457","ENSG00000198198.15","ENSG00000142949.16"
"458","ENSG00000142949.16","ENSG00000066135.12"
"459","ENSG00000066135.12","ENSG00000126091.19"
"460","ENSG00000117407.16","ENSG00000117408.10"
"461","ENSG00000117408.10","ENSG00000132768.13"
"462","ENSG00000117411.16","ENSG00000159214.12"
"463","ENSG00000159214.12","ENSG00000196517.11"
"464","ENSG00000196517.11","ENSG00000171872.4"
"465","ENSG00000171872.4","ENSG00000283039.1"
"466","ENSG00000283039.1","ENSG00000178028.13"
"467","ENSG00000178028.13","ENSG00000117419.14"
"468","ENSG00000117419.14","ENSG00000187147.17"
"469","ENSG00000198520.10","ENSG00000142945.12"
"470","ENSG00000142945.12","ENSG00000142937.11"
"471","ENSG00000142937.11","ENSG00000142959.4"
"472","ENSG00000142959.4","ENSG00000173846.12"
"473","ENSG00000222009.8","ENSG00000117425.13"
"474","ENSG00000117425.13","ENSG00000070785.16"
"475","ENSG00000070785.16","ENSG00000126107.14"
"476","ENSG00000162415.6","ENSG00000186603.5"
"477","ENSG00000186603.5","ENSG00000132781.17"
"478","ENSG00000132773.11","ENSG00000070759.16"
"479","ENSG00000132763.14","ENSG00000117450.13"
"480","ENSG00000117450.13","ENSG00000117448.13"
"481","ENSG00000117448.13","ENSG00000132780.16"
"482","ENSG00000132780.16","ENSG00000159588.14"
"483","ENSG00000159588.14","ENSG00000159592.10"
"484","ENSG00000159596.6","ENSG00000197429.10"
"485","ENSG00000197429.10","ENSG00000086015.20"
"486","ENSG00000117461.14","ENSG00000117472.9"
"487","ENSG00000250719.1","ENSG00000085998.13"
"488","ENSG00000171357.5","ENSG00000085999.11"
"489","ENSG00000085999.11","ENSG00000132128.16"
"490","ENSG00000173660.11","ENSG00000117481.10"
"491","ENSG00000117481.10","ENSG00000117480.15"
"492","ENSG00000117480.15","ENSG00000197587.10"
"493","ENSG00000197587.10","ENSG00000282881.1"
"494","ENSG00000282881.1","ENSG00000162456.9"
"495","ENSG00000162456.9","ENSG00000079277.19"
"496","ENSG00000079277.19","ENSG00000142961.14"
"497","ENSG00000142961.14","ENSG00000123472.12"
"498","ENSG00000186118.8","ENSG00000159658.10"
"499","ENSG00000159658.10","ENSG00000142973.13"
"500","ENSG00000142973.13","ENSG00000187048.12"
"501","ENSG00000187048.12","ENSG00000186377.7"
"502","ENSG00000186377.7","ENSG00000186160.4"
"503","ENSG00000186160.4","ENSG00000162365.11"
"504","ENSG00000162365.11","ENSG00000162366.7"
"505","ENSG00000162366.7","ENSG00000162367.11"
"506","ENSG00000162367.11","ENSG00000123473.15"
"507","ENSG00000123473.15","ENSG00000162368.13"
"508","ENSG00000162368.13","ENSG00000186790.5"
"509","ENSG00000186790.5","ENSG00000186564.5"
"510","ENSG00000123080.10","ENSG00000204006.8"
"511","ENSG00000204006.8","ENSG00000123091.4"
"512","ENSG00000123091.4","ENSG00000085831.15"
"513","ENSG00000085831.15","ENSG00000085832.16"
"514","ENSG00000085832.16","ENSG00000117859.18"
"515","ENSG00000078618.21","ENSG00000169213.6"
"516","ENSG00000169213.6","ENSG00000117862.11"
"517","ENSG00000117862.11","ENSG00000198841.3"
"518","ENSG00000198841.3","ENSG00000134717.17"
"519","ENSG00000134717.17","ENSG00000157077.14"
"520","ENSG00000154222.14","ENSG00000085840.12"
"521","ENSG00000134748.12","ENSG00000134744.13"
"522","ENSG00000134744.13","ENSG00000116157.5"
"523","ENSG00000116157.5","ENSG00000182183.14"
"524","ENSG00000182183.14","ENSG00000162377.5"
"525","ENSG00000162377.5","ENSG00000162378.12"
"526","ENSG00000162378.12","ENSG00000203995.9"
"527","ENSG00000203995.9","ENSG00000121310.16"
"528","ENSG00000116171.17","ENSG00000174348.13"
"529","ENSG00000174348.13","ENSG00000162383.11"
"530","ENSG00000162383.11","ENSG00000157184.6"
"531","ENSG00000157184.6","ENSG00000162384.13"
"532","ENSG00000162384.13","ENSG00000162385.10"
"533","ENSG00000162385.10","ENSG00000157193.15"
"534","ENSG00000157193.15","ENSG00000143006.7"
"535","ENSG00000174332.5","ENSG00000058804.11"
"536","ENSG00000058804.11","ENSG00000058799.14"
"537","ENSG00000211452.10","ENSG00000081870.11"
