2021-10-11 22:44:05.902532	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=CRISPR+RNA-seq&assay_title=CRISPRi+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bam&field=accession&field=assay_title&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=description&field=lab.title&field=award.project&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=possible_controls&field=perturbed&limit=all
Accession	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Biosample accession	Biological replicate	Technical replicate	Organism	Controls	Perturbed
ENCSR810RIC	CRISPRi RNA-seq	HOXB9	HOXB9	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HOXB9	K562	GEO:GSE127158	RNA-seq on K562 cells treated by CRISPR interference targeting HOXB9.	Michael Snyder, Stanford	ENCODE	ENCBS424FEP,ENCBS728HGG	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR381TNV	CRISPRi RNA-seq	NFATC1	NFATC1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NFATC1	K562	GEO:GSE127118	RNA-seq on K562 cells treated by CRISPR interference targeting NFATC1.	Michael Snyder, Stanford	ENCODE	ENCBS355HGB,ENCBS670WOE	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR997ACY	CRISPR RNA-seq	RPL23A	RPL23A	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPL23A	K562	GEO:GSE178061	RNA-seq on K562 cells treated with a CRISPR gRNA against RPL23A. (RPL23A-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS693ASC,ENCBS759JGW	2,1	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR481AIB	CRISPR RNA-seq	TRNAU1AP	TRNAU1AP	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens TRNAU1AP	HepG2	GEO:GSE177383	RNA-seq on HepG2 cells treated with a CRISPR gRNA against TRNAU1AP. (TRNAU1AP-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS558FIL,ENCBS210ZHC	2,1	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR263IOO	CRISPRi RNA-seq	HMGB2	HMGB2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HMGB2	K562	GEO:GSE127104	RNA-seq on K562 cells treated by CRISPR interference targeting HMGB2.	Michael Snyder, Stanford	ENCODE	ENCBS936ASP,ENCBS134NXZ	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR016WFQ	CRISPRi RNA-seq			Homo sapiens K562 genetically modified (interference) using CRISPR	K562	GEO:GSE127063	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch C control).	Michael Snyder, Stanford	ENCODE	ENCBS861OYO,ENCBS287NAE	1,2	1	Homo sapiens		False
ENCSR184VVN	CRISPRi RNA-seq	STAT1	STAT1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens STAT1	K562	GEO:GSE127097	RNA-seq on K562 cells treated by CRISPR interference targeting STAT1.	Michael Snyder, Stanford	ENCODE	ENCBS554LPK,ENCBS304WSL	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR084NTT	CRISPRi RNA-seq	SRF	SRF	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens SRF	K562	GEO:GSE127082	RNA-seq on K562 cells treated by CRISPR interference targeting SRF.	Michael Snyder, Stanford	ENCODE	ENCBS814DBT,ENCBS301VUL	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR190RZZ	CRISPRi RNA-seq	BACH1	BACH1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens BACH1	K562	GEO:GSE127098	RNA-seq on K562 cells treated by CRISPR interference targeting BACH1.	Michael Snyder, Stanford	ENCODE	ENCBS347VOS,ENCBS020BQK	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR733TFF	CRISPRi RNA-seq	MEIS2	MEIS2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens MEIS2	K562	GEO:GSE127150	RNA-seq on K562 cells treated by CRISPR interference targeting MEIS2.	Michael Snyder, Stanford	ENCODE	ENCBS961PAE,ENCBS972HZK	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR557BMX	CRISPRi RNA-seq	GATA2	GATA2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens GATA2	K562	GEO:GSE127129	RNA-seq on K562 cells treated by CRISPR interference targeting GATA2.	Michael Snyder, Stanford	ENCODE	ENCBS946UFP,ENCBS993XPI	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR543LCG	CRISPR RNA-seq	IGF2BP1	IGF2BP1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens IGF2BP1	K562	GEO:GSE177292	RNA-seq on K562 cells treated with a CRISPR gRNA against IGF2BP1. (IGF2BP1_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS556RPW,ENCBS472YQF	2,1	1	Homo sapiens	/experiments/ENCSR163JUC/	True
ENCSR599NNK	CRISPR RNA-seq	HNRNPF	HNRNPF	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens HNRNPF	HepG2	RBPImage:HNRNPF,GEO:GSE177473	RNA-seq on HepG2 cells treated with a CRISPR gRNA against HNRNPF. (HNRNPF_BGHcLV03)	Brenton Graveley, UConn	ENCODE	ENCBS346EFV,ENCBS135KID	1,2	1	Homo sapiens	/experiments/ENCSR105NML/	True
ENCSR171KMM	CRISPRi RNA-seq	NFYB	NFYB	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NFYB	K562	GEO:GSE127093	RNA-seq on K562 cells treated by CRISPR interference targeting NFYB.	Michael Snyder, Stanford	ENCODE	ENCBS989PIL,ENCBS259LHA,ENCBS866QHV,ENCBS721IWW	1,2,4,3	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR389OCD	CRISPRi RNA-seq	JUND	JUND	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens JUND	K562	GEO:GSE127122	RNA-seq on K562 cells treated by CRISPR interference targeting JUND.	Michael Snyder, Stanford	ENCODE	ENCBS649JIJ,ENCBS725SHQ	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR052BWT	CRISPRi RNA-seq	USF2	USF2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens USF2	K562	GEO:GSE127073	RNA-seq on K562 cells treated by CRISPR interference targeting USF2.	Michael Snyder, Stanford	ENCODE	ENCBS688IIQ,ENCBS127EMJ	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR545HTM	CRISPRi RNA-seq	USF1	USF1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens USF1	K562	GEO:GSE127126	RNA-seq on K562 cells treated by CRISPR interference targeting USF1.	Michael Snyder, Stanford	ENCODE	ENCBS132SWD,ENCBS753CQR	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR243VNX	CRISPRi RNA-seq	HMGN2	HMGN2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HMGN2	K562	GEO:GSE127102	RNA-seq on K562 cells treated by CRISPR interference targeting HMGN2.	Michael Snyder, Stanford	ENCODE	ENCBS848BRU,ENCBS307TAZ	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR619GAS	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177576	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq on day 41. (NT-D41_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS345PNA,ENCBS411BWT	2,1	1	Homo sapiens		False
ENCSR928MEW	CRISPR RNA-seq	RPLP0	RPLP0	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF7	K562	GEO:GSE177864	RNA-seq on K562 cells treated with a CRISPR gRNA against RPLP0. (RPLP0-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS091DVU,ENCBS143VWQ	2,1	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR028FBD	CRISPRi RNA-seq	DPF2	DPF2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens DPF2	K562	GEO:GSE127066	RNA-seq on K562 cells treated by CRISPR interference targeting DPF2.	Michael Snyder, Stanford	ENCODE	ENCBS730PIW,ENCBS600IGI	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR469EFL	CRISPRi RNA-seq	STAT2	STAT2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens STAT2	K562	GEO:GSE127125	RNA-seq on K562 cells treated by CRISPR interference targeting STAT2.	Michael Snyder, Stanford	ENCODE	ENCBS780AML,ENCBS140ZVH	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR620DOP	CRISPRi RNA-seq	KLF2	KLF2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens KLF2	K562	GEO:GSE127133	RNA-seq on K562 cells treated by CRISPR interference targeting KLF2.	Michael Snyder, Stanford	ENCODE	ENCBS022YEG,ENCBS560YKU	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR688UTN	CRISPRi RNA-seq	NR2F2	NR2F2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NR2F2	K562	GEO:GSE127137	RNA-seq on K562 cells treated by CRISPR interference targeting NR2F2.	Michael Snyder, Stanford	ENCODE	ENCBS376XFA,ENCBS445QFM,ENCBS306IPB	1,3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR659DRE	CRISPR RNA-seq	ELAVL1	ELAVL1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens ELAVL1	HepG2	GEO:GSE177697	RNA-seq on HepG2 cells treated with a CRISPR gRNA against ELAVL1. (ELAVL1-BGHcLV14)	Brenton Graveley, UConn	ENCODE	ENCBS834AUG,ENCBS777RCK	1,2	1	Homo sapiens	/experiments/ENCSR750CPT/	True
ENCSR964YLV	CRISPR RNA-seq	EIF3H	EIF3H	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens EIF3H	HepG2	GEO:GSE177956,RBPImage:EIF3H	RNA-seq on HepG2 cells treated with a CRISPR gRNA against EIF3H. (EIF3H-BGHcLV05-B)	Brenton Graveley, UConn	ENCODE	ENCBS443YFV,ENCBS731URN	1,2	1	Homo sapiens	/experiments/ENCSR853AOV/	True
ENCSR974RYS	CRISPR RNA-seq	ZNF800	ZNF800	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens ZNF800	K562	GEO:GSE177987	RNA-seq on K562 cells treated with a CRISPR gRNA against ZNF800. (ZNF800-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS892HDF,ENCBS182NRR	2,1	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR103NNB	CRISPR RNA-seq	SDAD1	SDAD1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SDAD1	K562	GEO:GSE176604	RNA-seq on K562 cells treated with a CRISPR gRNA against SDAD1. (SDAD1-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS880QCJ,ENCBS367HEP	1,2	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR237QLO	CRISPR RNA-seq	ACO1	ACO1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens ACO1	K562	GEO:GSE176812	RNA-seq on K562 cells treated with a CRISPR gRNA against ACO1. (ACO1-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS687AKW,ENCBS787BHM	2,1	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR341TTW	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177196	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS044NCU,ENCBS280LUD	2,1	1	Homo sapiens		False
ENCSR406SEH	CRISPR RNA-seq	EXOSC5	EXOSC5	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EXOSC5	K562	GEO:GSE177091	RNA-seq on K562 cells treated with a CRISPR gRNA against EXOSC5. (EXOSC5-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS317DNC,ENCBS739CIR	2,1	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR376GHG	CRISPR RNA-seq	FXR2	FXR2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens FXR2	K562	GEO:GSE177366	RNA-seq on K562 cells treated with a CRISPR gRNA against FXR2. (FXR2_BGKcLV04)	Brenton Graveley, UConn	ENCODE	ENCBS862RHQ,ENCBS460PSZ	2,1	1	Homo sapiens	/experiments/ENCSR828YEB/	True
ENCSR148UGK	CRISPR RNA-seq	DGCR8	DGCR8	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DGCR8	K562	GEO:GSE176799	RNA-seq on K562 cells treated with a CRISPR gRNA against DGCR8 on day 41. (DGCR8-D41_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS637RKV,ENCBS008XYP	2,1	1	Homo sapiens	/experiments/ENCSR619GAS/	True
ENCSR721CNY	CRISPR RNA-seq	DGCR8	DGCR8	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DGCR8	K562	GEO:GSE177551	RNA-seq on K562 cells treated with a CRISPR gRNA against DGCR8 on day 30. (DGCR8-D30_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS091YRZ,ENCBS998ZJJ	2,1	1	Homo sapiens	/experiments/ENCSR395HQT/	True
ENCSR278NFF	CRISPR RNA-seq	CDC40	CDC40	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens CDC40	HepG2	GEO:GSE176979,RBPImage:CDC40	RNA-seq on HepG2 cells treated with a CRISPR gRNA against CDC40. (CDC40_BGHcLV05)	Brenton Graveley, UConn	ENCODE	ENCBS298YPF,ENCBS270SQR	1,2	1	Homo sapiens	/experiments/ENCSR481WJH/	True
ENCSR606QVN	CRISPR RNA-seq	WDR43	WDR43	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens WDR43	HepG2	RBPImage:WDR43,GEO:GSE177530	RNA-seq on HepG2 cells treated with a CRISPR gRNA against WDR43. (WDR43-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS795OMT,ENCBS260ZXT	2,1	1	Homo sapiens	/experiments/ENCSR827PII/	True
ENCSR845MNM	CRISPR RNA-seq	SRSF7	SRSF7	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF7	HepG2	GEO:GSE177928,RBPImage:SRSF7	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SRSF7. (SRSF7_BGHcLV03)	Brenton Graveley, UConn	ENCODE	ENCBS111IHC,ENCBS670FFG	1,2	1	Homo sapiens	/experiments/ENCSR105NML/	True
ENCSR712CQC	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177511	RNA-seq on K562 cells treated with a CRISPR gRNA against NT. (NT-BGKcLV13)	Brenton Graveley, UConn	ENCODE	ENCBS323JXU,ENCBS160IFA	1,2	1	Homo sapiens		False
ENCSR897BYR	CRISPR RNA-seq	RBM25	RBM25	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RBM25	K562	GEO:GSE178039	RNA-seq on K562 cells treated with a CRISPR gRNA against RBM25. (RBM25-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS339ZLL,ENCBS697TKR	2,1	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR929EIP	CRISPR RNA-seq	SRPK2	SRPK2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SRPK2	HepG2	GEO:GSE177867,RBPImage:SRPK2	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SRPK2. (SRPK2-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS575STC,ENCBS139LMU	1,2	1	Homo sapiens	/experiments/ENCSR827PII/	True
ENCSR000SKS	CRISPR RNA-seq	RPLP0	RPLP0	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RPLP0	HepG2	GEO:GSE176586,RBPImage:RPLP0	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RPLP0. (RPLP0_BGHcLV03)	Brenton Graveley, UConn	ENCODE	ENCBS956FFN,ENCBS199RMB	1,2	1	Homo sapiens	/experiments/ENCSR105NML/	True
ENCSR827PII	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177865	RNA-seq on HepG2 cells treated with a CRISPR gRNA against NT. (NT-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS421MNK,ENCBS372ZCC	1,2	1	Homo sapiens		False
