File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF510TGG	bam	bam		transcriptome alignments	GRCh38	ENCSR529UYQ	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1477/'], '@type': ['Target', 'Item'], 'name': 'CSTF1-human', 'label': 'CSTF1', '@id': '/targets/CSTF1-human/', 'title': 'CSTF1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '51836708-3166-4f30-83e1-2b4914ad3421', 'status': 'released'}				CSTF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-02-27	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		101					/files/ENCFF832ZXH/, /files/ENCFF083ILN/, /files/ENCFF598IDH/	5977384217	ENCODE Processing Pipeline	99709e4661ae89d6af6acfe9d696e5d4		https://www.encodeproject.org/files/ENCFF510TGG/@@download/ENCFF510TGG.bam	V29			released	s3://encode-public/2021/02/24/73d41f9e-fe02-4741-b6ea-e3152990a7c3/ENCFF510TGG.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF636WAL	bam	bam		alignments	GRCh38	ENCSR529UYQ	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1477/'], '@type': ['Target', 'Item'], 'name': 'CSTF1-human', 'label': 'CSTF1', '@id': '/targets/CSTF1-human/', 'title': 'CSTF1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '51836708-3166-4f30-83e1-2b4914ad3421', 'status': 'released'}				CSTF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-02-27	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		101					/files/ENCFF832ZXH/, /files/ENCFF083ILN/, /files/ENCFF598IDH/	3349533265	ENCODE Processing Pipeline	6d024f8071b36653e6e6e87429bb7c27		https://www.encodeproject.org/files/ENCFF636WAL/@@download/ENCFF636WAL.bam	V29			released	s3://encode-public/2021/02/24/a4c40c96-5f00-4908-9b42-0e4c14139643/ENCFF636WAL.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF420TCA	bam	bam		alignments	GRCh38	ENCSR529UYQ	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1477/'], '@type': ['Target', 'Item'], 'name': 'CSTF1-human', 'label': 'CSTF1', '@id': '/targets/CSTF1-human/', 'title': 'CSTF1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '51836708-3166-4f30-83e1-2b4914ad3421', 'status': 'released'}				CSTF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-02-27	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		101					/files/ENCFF302JIG/, /files/ENCFF598IDH/, /files/ENCFF720ZOZ/	5136825811	ENCODE Processing Pipeline	bc20f129fe31c0be2efca3ceebddce17		https://www.encodeproject.org/files/ENCFF420TCA/@@download/ENCFF420TCA.bam	V29			released	s3://encode-public/2021/02/24/367fbd35-82ec-4e86-a057-bd5b2a96ea85/ENCFF420TCA.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF193BIN	bam	bam		transcriptome alignments	GRCh38	ENCSR529UYQ	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1477/'], '@type': ['Target', 'Item'], 'name': 'CSTF1-human', 'label': 'CSTF1', '@id': '/targets/CSTF1-human/', 'title': 'CSTF1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '51836708-3166-4f30-83e1-2b4914ad3421', 'status': 'released'}				CSTF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-02-27	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		101					/files/ENCFF302JIG/, /files/ENCFF598IDH/, /files/ENCFF720ZOZ/	9512840031	ENCODE Processing Pipeline	437d017ba7bbeb34ba4ef6932b5d9efb		https://www.encodeproject.org/files/ENCFF193BIN/@@download/ENCFF193BIN.bam	V29			released	s3://encode-public/2021/02/24/ff47dc8b-115c-47ee-8ea8-8f30a5724bab/ENCFF193BIN.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF947GPC	bam	bam		alignments	GRCh38	ENCSR092QTF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8480/'], '@type': ['Target', 'Item'], 'name': 'RAE1-human', 'label': 'RAE1', '@id': '/targets/RAE1-human/', 'title': 'RAE1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '1d2eafc9-e2b9-4259-8eac-ab0629103e9e', 'status': 'released'}				RAE1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF059PTM/, /files/ENCFF074DDP/, /files/ENCFF598IDH/	16211427649	ENCODE Processing Pipeline	261d3d68892954f90155ddaaebbb1d93		https://www.encodeproject.org/files/ENCFF947GPC/@@download/ENCFF947GPC.bam	V29			released	s3://encode-public/2020/11/02/99e86ab8-8ac6-42db-ab1c-5cc853e9967a/ENCFF947GPC.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF645DEJ	bam	bam		alignments	GRCh38	ENCSR092QTF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8480/'], '@type': ['Target', 'Item'], 'name': 'RAE1-human', 'label': 'RAE1', '@id': '/targets/RAE1-human/', 'title': 'RAE1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '1d2eafc9-e2b9-4259-8eac-ab0629103e9e', 'status': 'released'}				RAE1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF095HYT/, /files/ENCFF433VXH/	16220422249	ENCODE Processing Pipeline	73c534c2d5a1602061fd999a4bb5c39c		https://www.encodeproject.org/files/ENCFF645DEJ/@@download/ENCFF645DEJ.bam	V29			released	s3://encode-public/2020/11/02/5aef1fe6-32a3-4b0c-9ebc-d7e2ef3adb37/ENCFF645DEJ.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF729BKP	bam	bam		transcriptome alignments	GRCh38	ENCSR092QTF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8480/'], '@type': ['Target', 'Item'], 'name': 'RAE1-human', 'label': 'RAE1', '@id': '/targets/RAE1-human/', 'title': 'RAE1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '1d2eafc9-e2b9-4259-8eac-ab0629103e9e', 'status': 'released'}				RAE1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF095HYT/, /files/ENCFF433VXH/	29943050168	ENCODE Processing Pipeline	9d23df9186b9e19c71a025cf209cce15		https://www.encodeproject.org/files/ENCFF729BKP/@@download/ENCFF729BKP.bam	V29			released	s3://encode-public/2020/11/02/7420ffeb-2ce2-42fd-9349-8b147d6d967b/ENCFF729BKP.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF207CJO	bam	bam		transcriptome alignments	GRCh38	ENCSR092QTF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8480/'], '@type': ['Target', 'Item'], 'name': 'RAE1-human', 'label': 'RAE1', '@id': '/targets/RAE1-human/', 'title': 'RAE1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '1d2eafc9-e2b9-4259-8eac-ab0629103e9e', 'status': 'released'}				RAE1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF059PTM/, /files/ENCFF074DDP/, /files/ENCFF598IDH/	33035532574	ENCODE Processing Pipeline	2bec21f190f8fc66c15a42708c97a278		https://www.encodeproject.org/files/ENCFF207CJO/@@download/ENCFF207CJO.bam	V29			released	s3://encode-public/2020/11/02/31a32903-14dd-4a8c-8824-828e7754badb/ENCFF207CJO.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF489PCU	bam	bam		alignments	GRCh38	ENCSR715GSX	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/60528/'], '@type': ['Target', 'Item'], 'name': 'ELAC2-human', 'label': 'ELAC2', '@id': '/targets/ELAC2-human/', 'title': 'ELAC2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '3ec62a43-ce58-462b-a417-da0e6075f511', 'status': 'released'}				ELAC2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF596OXV/, /files/ENCFF598IDH/, /files/ENCFF884TLM/	6907496557	ENCODE Processing Pipeline	8bc7edfce3ff9c75d12e7e9b2b990474		https://www.encodeproject.org/files/ENCFF489PCU/@@download/ENCFF489PCU.bam	V29			released	s3://encode-public/2021/04/22/362ecdc8-246b-4026-a464-a80668d6dd39/ENCFF489PCU.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF944UAF	bam	bam		alignments	GRCh38	ENCSR715GSX	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/60528/'], '@type': ['Target', 'Item'], 'name': 'ELAC2-human', 'label': 'ELAC2', '@id': '/targets/ELAC2-human/', 'title': 'ELAC2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '3ec62a43-ce58-462b-a417-da0e6075f511', 'status': 'released'}				ELAC2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF930LSL/, /files/ENCFF241JFB/	7517223329	ENCODE Processing Pipeline	653395229d78509cd67c9fe879836908		https://www.encodeproject.org/files/ENCFF944UAF/@@download/ENCFF944UAF.bam	V29			released	s3://encode-public/2021/04/22/20d92c74-649a-4695-93ef-e9c165ab63b7/ENCFF944UAF.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF141DGK	bam	bam		transcriptome alignments	GRCh38	ENCSR715GSX	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/60528/'], '@type': ['Target', 'Item'], 'name': 'ELAC2-human', 'label': 'ELAC2', '@id': '/targets/ELAC2-human/', 'title': 'ELAC2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '3ec62a43-ce58-462b-a417-da0e6075f511', 'status': 'released'}				ELAC2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF596OXV/, /files/ENCFF598IDH/, /files/ENCFF884TLM/	13399923182	ENCODE Processing Pipeline	29c6f6a5f127c5eb819480715da33386		https://www.encodeproject.org/files/ENCFF141DGK/@@download/ENCFF141DGK.bam	V29			released	s3://encode-public/2021/04/22/297f567b-b093-4a87-8c81-0db054c5dff9/ENCFF141DGK.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF986GTL	bam	bam		transcriptome alignments	GRCh38	ENCSR715GSX	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/60528/'], '@type': ['Target', 'Item'], 'name': 'ELAC2-human', 'label': 'ELAC2', '@id': '/targets/ELAC2-human/', 'title': 'ELAC2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '3ec62a43-ce58-462b-a417-da0e6075f511', 'status': 'released'}				ELAC2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF930LSL/, /files/ENCFF241JFB/	14516235862	ENCODE Processing Pipeline	9bd201dadfbfdf21fd9177e27d5a2c54		https://www.encodeproject.org/files/ENCFF986GTL/@@download/ENCFF986GTL.bam	V29			released	s3://encode-public/2021/04/22/5091fcde-be2d-443f-9696-42dbe5e371b2/ENCFF986GTL.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF283HEQ	bam	bam		transcriptome alignments	GRCh38	ENCSR900AQL	CRISPRi RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8570/'], '@type': ['Target', 'Item'], 'name': 'KHSRP-human', 'label': 'KHSRP', '@id': '/targets/KHSRP-human/', 'title': 'KHSRP (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6ff816a9-6c43-43a2-969f-f3b35e428955', 'status': 'released'}				KHSRP-human	RNA					unstranded	2017-11-18	ENCODE			>200	2	2_1		101					/files/ENCFF598IDH/, /files/ENCFF722GWU/, /files/ENCFF728HMZ/	7965648316	ENCODE Processing Pipeline	a1bb868e75e44122eea1544f25f7a283		https://www.encodeproject.org/files/ENCFF283HEQ/@@download/ENCFF283HEQ.bam	V29			released	s3://encode-public/2021/03/24/98759d1b-2a0f-47dc-8c2a-0951ee90c8d7/ENCFF283HEQ.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization	missing spikeins	
ENCFF289MTP	bam	bam		transcriptome alignments	GRCh38	ENCSR900AQL	CRISPRi RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8570/'], '@type': ['Target', 'Item'], 'name': 'KHSRP-human', 'label': 'KHSRP', '@id': '/targets/KHSRP-human/', 'title': 'KHSRP (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6ff816a9-6c43-43a2-969f-f3b35e428955', 'status': 'released'}				KHSRP-human	RNA					unstranded	2017-11-18	ENCODE			>200	1	1_1		101					/files/ENCFF598IDH/, /files/ENCFF596MJB/, /files/ENCFF089PTD/	7696140940	ENCODE Processing Pipeline	63a87fc6287be52bee3d4e1948e84688		https://www.encodeproject.org/files/ENCFF289MTP/@@download/ENCFF289MTP.bam	V29			released	s3://encode-public/2021/03/24/6b282f3f-0169-4ea2-acf6-f7f963d4d194/ENCFF289MTP.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization	missing spikeins	
ENCFF854QWU	bam	bam		alignments	GRCh38	ENCSR900AQL	CRISPRi RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8570/'], '@type': ['Target', 'Item'], 'name': 'KHSRP-human', 'label': 'KHSRP', '@id': '/targets/KHSRP-human/', 'title': 'KHSRP (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6ff816a9-6c43-43a2-969f-f3b35e428955', 'status': 'released'}				KHSRP-human	RNA					unstranded	2017-11-18	ENCODE			>200	1	1_1		101					/files/ENCFF598IDH/, /files/ENCFF596MJB/, /files/ENCFF089PTD/	6023496836	ENCODE Processing Pipeline	7e479b424047670e985078eed31a0573		https://www.encodeproject.org/files/ENCFF854QWU/@@download/ENCFF854QWU.bam	V29			released	s3://encode-public/2021/03/24/6814b00e-b020-4bef-b161-f87218ee58e4/ENCFF854QWU.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization	missing spikeins	
ENCFF910ITF	bam	bam		alignments	GRCh38	ENCSR900AQL	CRISPRi RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8570/'], '@type': ['Target', 'Item'], 'name': 'KHSRP-human', 'label': 'KHSRP', '@id': '/targets/KHSRP-human/', 'title': 'KHSRP (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6ff816a9-6c43-43a2-969f-f3b35e428955', 'status': 'released'}				KHSRP-human	RNA					unstranded	2017-11-18	ENCODE			>200	2	2_1		101					/files/ENCFF598IDH/, /files/ENCFF722GWU/, /files/ENCFF728HMZ/	5974601734	ENCODE Processing Pipeline	e513e400c932b9e5a4051d0d8eeeaa87		https://www.encodeproject.org/files/ENCFF910ITF/@@download/ENCFF910ITF.bam	V29			released	s3://encode-public/2021/03/24/0b3c026a-934d-49e5-924a-ed69008c833c/ENCFF910ITF.bam	ENCODE4 v1.2.1 GRCh38 V29	released	missing biosample characterization	missing spikeins	
ENCFF734ZXY	bam	bam		alignments	GRCh38	ENCSR840JRU	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6631/'], '@type': ['Target', 'Item'], 'name': 'SNRPC-human', 'label': 'SNRPC', '@id': '/targets/SNRPC-human/', 'title': 'SNRPC (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '81a3e32f-25ee-46b7-8252-be7b13947f8f', 'status': 'released'}				SNRPC-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF598IDH/, /files/ENCFF895OPR/, /files/ENCFF985LPX/	6437314964	ENCODE Processing Pipeline	30eeb669c9c6c8041ca0b036edbaf2fc		https://www.encodeproject.org/files/ENCFF734ZXY/@@download/ENCFF734ZXY.bam	V29			released	s3://encode-public/2021/04/22/ea8556a4-f84e-4510-90b6-02c87472adc0/ENCFF734ZXY.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF028UBJ	bam	bam		transcriptome alignments	GRCh38	ENCSR840JRU	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6631/'], '@type': ['Target', 'Item'], 'name': 'SNRPC-human', 'label': 'SNRPC', '@id': '/targets/SNRPC-human/', 'title': 'SNRPC (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '81a3e32f-25ee-46b7-8252-be7b13947f8f', 'status': 'released'}				SNRPC-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF525VQG/, /files/ENCFF013GFT/	12740915632	ENCODE Processing Pipeline	c89dd8688b758db6ec451d7608964d96		https://www.encodeproject.org/files/ENCFF028UBJ/@@download/ENCFF028UBJ.bam	V29			released	s3://encode-public/2021/04/22/f389942c-d13d-45b9-8e15-45a510d59f4a/ENCFF028UBJ.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
ENCFF739OVV	bam	bam		transcriptome alignments	GRCh38	ENCSR840JRU	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6631/'], '@type': ['Target', 'Item'], 'name': 'SNRPC-human', 'label': 'SNRPC', '@id': '/targets/SNRPC-human/', 'title': 'SNRPC (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '81a3e32f-25ee-46b7-8252-be7b13947f8f', 'status': 'released'}				SNRPC-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-05-04	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF598IDH/, /files/ENCFF895OPR/, /files/ENCFF985LPX/	12618521192	ENCODE Processing Pipeline	15f95513cb1373b8ae44183456193ee7		https://www.encodeproject.org/files/ENCFF739OVV/@@download/ENCFF739OVV.bam	V29			released	s3://encode-public/2021/04/22/b4379c95-23c0-404b-b8af-03a49b515af8/ENCFF739OVV.bam	ENCODE4 v1.2.3 GRCh38 V29	released	missing compliant biosample characterization		
